;genre;nb_of_movies;nb_male;nb_female;nb_male_occurences;nb_female_occurences;nb_prota_male;nb_prota_female;nb_words_total_male;nb_words_total_female;nb_words_avg_male_per_movie;nb_words_avg_female_per_movie;nb_words_total_prota_male;nb_words_total_prota_female;nb_male_kitchen;nb_female_kitchen
0;Action;87;1618;553;41836;14221;833;324;513555;181441;11;11;490883;174541;225;67
1;Adventure;59;1071;400;31179;10628;567;236;371958;124693;11;10;358620;120293;136;35
2;Animation;15;213;112;6948;3071;120;65;72369;28097;10;8;70384;27285;44;20
3;Biography;18;423;168;10013;3884;217;88;130724;42305;11;10;124138;40781;87;28
4;Comedy;71;991;717;32951;24311;518;405;367610;268878;10;10;356261;261495;360;108
5;Crime;58;1044;468;29413;11843;556;254;350210;124295;11;9;337660;118819;280;97
6;Drama;110;1596;1065;46927;36255;800;589;578336;416929;11;10;554591;403481;667;248
7;Family;1;3;19;61;655;1;11;477;4466;7;6;450;4356;11;10
8;Fantasy;14;220;118;6071;4329;110;74;71683;50521;11;10;66968;49155;33;12
9;History;4;67;42;1319;1592;38;23;20455;21552;13;10;19826;20905;36;23
10;Horror;28;261;309;8947;8903;158;183;97430;93438;11;11;93381;89665;121;54
11;Music;2;15;34;65;1313;1;21;1061;23561;16;15;347;23026;15;4
12;Mystery;23;253;211;8934;6651;149;132;100670;65728;10;9;97340;62793;140;46
13;Romance;20;203;283;6378;10542;102;158;89018;133649;12;12;85533;129788;70;33
14;Sci-Fi;13;212;106;7231;2354;111;50;93275;30294;12;11;89856;27955;39;11
15;Thriller;13;194;125;6026;3285;106;65;76286;41005;11;12;73066;38490;55;23
16;War;2;62;8;1428;109;28;3;16012;1260;10;13;15262;1174;5;2
