;genre;nb_of_movies;nb_male;nb_female;insult_m->f;insult_f->m;insult_m->m;insult_f->f
0;Action;87;1618;553;36;31;76;12
1;Adventure;59;1071;400;11;19;45;5
2;Animation;15;213;112;0;3;14;0
3;Biography;18;423;168;4;15;36;4
4;Comedy;71;991;717;32;91;84;17
5;Crime;58;1044;468;41;30;81;7
6;Drama;110;1596;1065;41;82;96;40
7;Family;1;3;19;0;0;0;0
8;Fantasy;14;220;118;3;9;14;1
9;History;4;67;42;1;3;3;2
10;Horror;28;261;309;3;27;20;17
11;Music;2;15;34;1;2;0;5
12;Mystery;23;253;211;3;13;12;14
13;Romance;20;203;283;4;42;21;8
14;Sci-Fi;13;212;106;7;17;27;1
15;Thriller;13;194;125;7;6;17;6
16;War;2;62;8;2;1;3;0
