;genre;nb_of_movies;nb_male;nb_female;profanities_male;profanities_female->m
0;Action;87;1618;553;769;194
1;Adventure;59;1071;400;297;62
2;Animation;15;213;112;42;18
3;Biography;18;423;168;254;77
4;Comedy;71;991;717;832;363
5;Crime;58;1044;468;899;231
6;Drama;110;1596;1065;822;539
7;Family;1;3;19;0;0
8;Fantasy;14;220;118;97;48
9;History;4;67;42;19;25
10;Horror;28;261;309;137;115
11;Music;2;15;34;1;47
12;Mystery;23;253;211;138;104
13;Romance;20;203;283;125;161
14;Sci-Fi;13;212;106;179;29
15;Thriller;13;194;125;201;71
16;War;2;62;8;16;1
