;genre;nb_of_movies;nb_male;nb_female;sexual_vocab_bymale;sexual_vocab_byfemale
0;Action;87;1618;553;341;194
1;Adventure;59;1071;400;81;62
2;Animation;15;213;112;11;18
3;Biography;18;423;168;156;77
4;Comedy;71;991;717;459;367
5;Crime;58;1044;468;532;231
6;Drama;110;1596;1065;375;541
7;Family;1;3;19;0;0
8;Fantasy;14;220;118;41;48
9;History;4;67;42;3;25
10;Horror;28;261;309;69;115
11;Music;2;15;34;1;47
12;Mystery;23;253;211;59;104
13;Romance;20;203;283;61;162
14;Sci-Fi;13;212;106;83;29
15;Thriller;13;194;125;95;71
16;War;2;62;8;6;1
