;genre;nb_of_movies;nb_male;nb_female;sorry_male;sorry_female;please_male;please_female
0;Action;87;1618;553;127;36;101;53
1;Adventure;59;1071;400;113;29;96;52
2;Animation;15;213;112;28;10;17;14
3;Biography;18;423;168;38;10;39;22
4;Comedy;71;991;717;147;113;93;103
5;Crime;58;1044;468;90;41;57;44
6;Drama;110;1596;1065;196;149;112;167
7;Family;1;3;19;1;3;0;0
8;Fantasy;14;220;118;24;16;13;21
9;History;4;67;42;0;5;1;3
10;Horror;28;261;309;11;33;27;30
11;Music;2;15;34;0;3;0;3
12;Mystery;23;253;211;24;25;33;30
13;Romance;20;203;283;46;64;39;49
14;Sci-Fi;13;212;106;20;5;20;11
15;Thriller;13;194;125;14;12;19;18
16;War;2;62;8;4;0;6;0
