;genre;nb_of_movies;nb_male;nb_female;nb_I_male;nb_I_female;nb_you_male;nb_you_female;nb_he_male;nb_he_female;nb_she_male;nb_she_female;nb_male_work;nb_female_work
0;Action;87;1618;553;8140;2764;9446;3491;13747;4506;815;622;753;223
1;Adventure;59;1071;400;6108;1949;6830;2469;9939;3219;578;399;511;186
2;Animation;15;213;112;1375;559;1533;672;1695;654;82;63;100;50
3;Biography;18;423;168;2378;982;2431;999;3283;1016;169;89;174;78
4;Comedy;71;991;717;7557;6032;8082;5935;9287;6437;777;885;547;411
5;Crime;58;1044;468;6753;2793;7876;3110;9004;3169;680;370;553;201
6;Drama;110;1596;1065;10310;9011;11036;9351;14428;9848;1155;1643;914;605
7;Family;1;3;19;16;99;14;142;11;116;5;20;0;2
8;Fantasy;14;220;118;1411;1014;1410;1027;1765;1201;199;270;91;79
9;History;4;67;42;243;431;269;488;589;546;9;117;30;45
10;Horror;28;261;309;1575;1787;1896;2035;2683;2471;267;403;118;114
11;Music;2;15;34;24;473;22;343;26;634;6;225;0;24
12;Mystery;23;253;211;1851;1411;2009;1681;2706;1736;232;198;129;102
13;Romance;20;203;283;1680;2740;1701;2850;2070;3058;315;608;146;158
14;Sci-Fi;13;212;106;1376;418;1531;504;2405;816;206;143;120;29
15;Thriller;13;194;125;1482;730;1574;861;1884;1045;157;234;90;55
16;War;2;62;8;215;25;285;30;424;38;5;4;16;0
