;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Independence Day;(1996);145 min;"
Action, Adventure, Sci-Fi            ";Roland Emmerich;http://www.imsdb.com/Movie Scripts/Independence Day Script.html;http://www.imsdb.com/scripts/Independence-Day.html
1;2.0;Twister;(1996);113 min;"
Action, Adventure, Drama            ";Jan de Bont;;
2;3.0;Mission: Impossible;(1996);110 min;"
Action, Adventure, Thriller            ";Brian De Palma;;
3;4.0;Jerry Maguire;(1996);139 min;"
Comedy, Drama, Romance            ";Cameron Crowe;http://www.imsdb.com/Movie Scripts/Jerry Maguire Script.html;http://www.imsdb.com/scripts/Jerry-Maguire.html
4;5.0;Ransom;(1996);121 min;"
Crime, Thriller            ";Ron Howard;;
5;6.0;101 Dalmatians;(1996);103 min;"
Adventure, Comedy, Crime            ";Stephen Herek;;
6;7.0;The Rock;(1996);136 min;"
Action, Adventure, Thriller            ";Michael Bay;;
7;8.0;The Nutty Professor;(1996);95 min;"
Comedy, Romance, Sci-Fi            ";Tom Shadyac;;
8;9.0;The Birdcage;(1996);117 min;"
Comedy            ";Mike Nichols;;
9;10.0;A Time to Kill;(1996);149 min;"
Crime, Drama, Thriller            ";Joel Schumacher;;
10;11.0;The First Wives Club;(1996);103 min;"
Comedy            ";Hugh Wilson;;
11;12.0;Phenomenon;(1996);123 min;"
Drama, Fantasy, Romance            ";Jon Turteltaub;;
12;13.0;Scream;(1996);111 min;"
Horror, Mystery            ";Wes Craven;http://www.imsdb.com/Movie Scripts/Scream Script.html;http://www.imsdb.com/scripts/Scream.html
13;14.0;Eraser;(1996);115 min;"
Action, Drama, Mystery            ";Chuck Russell;;
14;15.0;The Hunchback of Notre Dame;(1996);91 min;"
Animation, Drama, Family            ";Gary Trousdale;;
15;16.0;Michael;(1996);105 min;"
Comedy, Drama, Fantasy            ";Nora Ephron;;
16;17.0;Star Trek: First Contact;(1996);111 min;"
Action, Adventure, Drama            ";Jonathan Frakes;http://www.imsdb.com/Movie Scripts/Star Trek: First Contact Script.html;http://www.imsdb.com/scripts/Star-Trek-First-Contact.html
17;18.0;Space Jam;(1996);88 min;"
Animation, Adventure, Comedy            ";Joe Pytka;;
18;19.0;The English Patient;(1996);162 min;"
Drama, Romance, War            ";Anthony Minghella;;
19;20.0;Broken Arrow;(1996);108 min;"
Action, Crime, Thriller            ";John Woo;http://www.imsdb.com/Movie Scripts/Broken Arrow Script.html;http://www.imsdb.com/scripts/Broken-Arrow.html
20;21.0;Executive Decision;(1996);133 min;"
Action, Adventure, Thriller            ";Stuart Baird;http://www.imsdb.com/Movie Scripts/Executive Decision Script.html;
21;22.0;Beavis and Butt-Head Do America;(1996);81 min;"
Animation, Adventure, Comedy            ";Mike Judge;;
22;23.0;Jingle All the Way;(1996);89 min;"
Comedy, Family            ";Brian Levant;;
23;24.0;The Cable Guy;(1996);96 min;"
Comedy, Drama, Thriller            ";Ben Stiller;;
24;25.0;Courage Under Fire;(1996);116 min;"
Action, Drama, Mystery            ";Edward Zwick;http://www.imsdb.com/Movie Scripts/Courage Under Fire Script.html;http://www.imsdb.com/scripts/Courage-Under-Fire.pdf
25;26.0;Jack;(1996);113 min;"
Comedy, Drama, Fantasy            ";Francis Ford Coppola;;
26;27.0;Primal Fear;(1996);129 min;"
Crime, Drama, Mystery            ";Gregory Hoblit;;
27;28.0;Tin Cup;(1996);135 min;"
Comedy, Drama, Romance            ";Ron Shelton;http://www.imsdb.com/Movie Scripts/Tin Cup Script.html;http://www.imsdb.com/scripts/Tin-Cup.html
28;29.0;Sleepers;(1996);147 min;"
Crime, Drama, Thriller            ";Barry Levinson;;
29;30.0;Eye for an Eye;(1996);101 min;"
Crime, Drama, Thriller            ";John Schlesinger;;
30;31.0;DragonHeart;(1996);103 min;"
Action, Adventure, Fantasy            ";Rob Cohen;;
31;32.0;Up Close & Personal;(1996);124 min;"
Drama, Romance            ";Jon Avnet;;
32;33.0;Evita;(1996);135 min;"
Biography, Drama, History            ";Alan Parker;;
33;34.0;Homeward Bound II: Lost in San Francisco;(1996);89 min;"
Adventure, Comedy, Family            ";David R. Ellis;;
34;35.0;The Preacher's Wife;(1996);123 min;"
Comedy, Drama, Fantasy            ";Penny Marshall;;
35;36.0;Romeo + Juliet;(1996);120 min;"
Drama, Romance            ";Baz Luhrmann;;
36;37.0;One Fine Day;(1996);108 min;"
Comedy, Drama, Romance            ";Michael Hoffman;;
37;38.0;The Juror;(1996);118 min;"
Drama, Thriller            ";Brian Gibson;;
38;39.0;The Mirror Has Two Faces;(1996);126 min;"
Comedy, Drama, Romance            ";Barbra Streisand;;
39;40.0;Don't Be a Menace to South Central While Drinking Your Juice in the Hood;(1996);89 min;"
Comedy, Crime            ";Paris Barclay;;
40;41.0;Happy Gilmore;(1996);92 min;"
Comedy, Family, Sport            ";Dennis Dugan;;
41;42.0;L'ombre et la proie;(1996);110 min;"
Adventure, Drama, Horror            ";Stephen Hopkins;;
42;43.0;Bed of Roses;(1996);87 min;"
Romance, Drama            ";Michael Goldenberg;;
43;44.0;Mars Attacks!;(1996);106 min;"
Comedy, Sci-Fi            ";Tim Burton;;
44;45.0;Set It Off;(1996);123 min;"
Action, Crime, Drama            ";F. Gary Gray;;
45;46.0;Shine;(1996);105 min;"
Biography, Drama, Music            ";Scott Hicks;;
46;47.0;A Thin Line Between Love and Hate;(1996);108 min;"
Comedy, Crime, Drama            ";Martin Lawrence;;
47;48.0;The Truth About Cats & Dogs;(1996);97 min;"
Comedy, Romance            ";Michael Lehmann;;
48;49.0;Muppet Treasure Island;(1996);99 min;"
Action, Adventure, Comedy            ";Brian Henson;;
49;50.0;The Long Kiss Goodnight;(1996);121 min;"
Action, Crime, Drama            ";Renny Harlin;;
50;51.0;Matilda;(1996);102 min;"
Comedy, Family, Fantasy            ";Danny DeVito;;
51;52.0;Daylight;(1996);114 min;"
Action, Adventure, Drama            ";Rob Cohen;;
52;53.0;Striptease;(1996);115 min;"
Comedy, Crime, Drama            ";Andrew Bergman;;
53;54.0;Black Sheep;(1996);87 min;"
Comedy            ";Penelope Spheeris;;
54;55.0;Eddie;(1996);100 min;"
Comedy, Sport            ";Steve Rash;;
55;56.0;Sgt. Bilko;(1996);93 min;"
Comedy            ";Jonathan Lynn;;
56;57.0;James and the Giant Peach;(1996);79 min;"
Animation, Adventure, Family            ";Henry Selick;;
57;58.0;The Island of Dr. Moreau;(1996);96 min;"
Horror, Sci-Fi, Thriller            ";John Frankenheimer;;
58;59.0;Spy Hard;(1996);81 min;"
Comedy, Action            ";Rick Friedberg;;
59;60.0;Bio-Dome;(1996);88 min;"
Comedy            ";Jason Bloom;;
60;61.0;Harriet the Spy;(1996);100 min;"
Comedy, Drama, Family            ";Bronwen Hughes;;
61;62.0;First Kid;(1996);101 min;"
Family, Comedy            ";David M. Evans;;
62;63.0;Fargo;(1996);98 min;"
Crime, Drama, Thriller            ";Joel Coen;http://www.imsdb.com/Movie Scripts/Fargo Script.html;http://www.imsdb.com/scripts/Fargo.html
63;64.0;That Thing You Do!;(1996);108 min;"
Comedy, Drama, Music            ";Tom Hanks;;
64;65.0;Down Periscope;(1996);92 min;"
Comedy            ";David S. Ward;;
65;66.0;From Dusk Till Dawn;(1996);108 min;"
Action, Crime, Horror            ";Robert Rodriguez;http://www.imsdb.com/Movie Scripts/From Dusk Till Dawn Script.html;http://www.imsdb.com/scripts/From-Dusk-Till-Dawn.html
66;67.0;Escape from L.A.;(1996);101 min;"
Action, Adventure, Sci-Fi            ";John Carpenter;;
67;68.0;Kingpin;(1996);113 min;"
Comedy, Sport            ";Bobby Farrelly;;
68;69.0;The Craft;(1996);101 min;"
Drama, Fantasy, Horror            ";Andrew Fleming;;
69;70.0;Fly Away Home;(1996);107 min;"
Adventure, Drama, Family            ";Carroll Ballard;;
70;71.0;Sling Blade;(1996);135 min;"
Drama            ";Billy Bob Thornton;http://www.imsdb.com/Movie Scripts/Sling Blade Script.html;http://www.imsdb.com/scripts/Sling-Blade.html
71;72.0;D3: The Mighty Ducks;(1996);104 min;"
Action, Comedy, Drama            ";Robert Lieberman;;
72;73.0;My Fellow Americans;(1996);101 min;"
Adventure, Comedy            ";Peter Segal;;
73;74.0;Emma;(1996);120 min;"
Comedy, Drama, Romance            ";Douglas McGrath;;
74;75.0;The Quest;(1996);95 min;"
Action, Adventure, Thriller            ";Jean-Claude Van Damme;;
75;76.0;A Very Brady Sequel;(1996);90 min;"
Comedy            ";Arlene Sanford;;
76;77.0;Bulletproof;(1996);84 min;"
Action, Comedy, Crime            ";Ernest R. Dickerson;;
77;78.0;High School High;(1996);86 min;"
Comedy, Crime, Romance            ";Hart Bochner;;
78;79.0;Beautiful Girls;(1996);112 min;"
Comedy, Drama, Romance            ";Ted Demme;;
79;80.0;Fear;(1996);97 min;"
Drama, Thriller            ";James Foley;;
80;81.0;Chain Reaction;(1996);107 min;"
Action, Drama, Sci-Fi            ";Andrew Davis;;
81;82.0;The Glimmer Man;(1996);91 min;"
Action, Comedy, Crime            ";John Gray;;
82;83.0;City Hall;(1996);111 min;"
Drama            ";Harold Becker;;
83;84.0;The People vs. Larry Flynt;(1996);129 min;"
Biography, Drama            ";Milos Forman;;
84;85.0;Multiplicity;(1996);117 min;"
Comedy, Romance, Sci-Fi            ";Harold Ramis;;
85;86.0;Flipper;(1996);95 min;"
Family, Adventure            ";Alan Shapiro;;
86;87.0;Mother;(II) (1996);104 min;"
Comedy, Drama            ";Albert Brooks;;
87;88.0;Kazaam;(1996);93 min;"
Comedy, Family, Fantasy            ";Paul Michael Glaser;;
88;89.0;Dunston Checks In;(1996);88 min;"
Comedy, Adventure, Family            ";Ken Kwapis;;
89;90.0;The Fan;(1996);116 min;"
Action, Drama, Sport            ";Tony Scott;;
90;91.0;Last Man Standing;(1996);101 min;"
Action, Crime, Drama            ";Walter Hill;;
91;92.0;The Crow: City of Angels;(1996);84 min;"
Action, Fantasy, Thriller            ";Tim Pope;;
92;93.0;Extreme Measures;(1996);118 min;"
Crime, Drama, Mystery            ";Michael Apted;;
93;94.0;Le fantôme du Bengale;(1996);100 min;"
Action, Adventure, Comedy            ";Simon Wincer;;
94;95.0;Before and After;(1996);108 min;"
Crime, Drama, Mystery            ";Barbet Schroeder;;
95;96.0;Diabolique;(1996);107 min;"
Drama, Horror, Thriller            ";Jeremiah S. Chechik;;
96;97.0;Liens d'acier;(1996);98 min;"
Action, Adventure, Crime            ";Kevin Hooks;;
97;98.0;Hellraiser: Bloodline;(1996);85 min;"
Horror, Sci-Fi            ";Kevin Yagher;;
98;99.0;Fantômes contre fantômes;(1996);110 min;"
Comedy, Fantasy, Horror            ";Peter Jackson;;
99;100.0;Trainspotting;(1996);94 min;"
Drama            ";Danny Boyle;http://www.imsdb.com/Movie Scripts/Trainspotting Script.html;http://www.imsdb.com/scripts/Trainspotting.html
